gloss,n_languages,all_languages,domain,language,form,ipa_tokens,group,adjusted_score,loan_class,thin_lang_flag
often,2,Azerbaijani; Kazakh,other,Kazakh,əlʁɪj,ə l ʁ ɪ j,A_kipchak,-1.1098,unknown,False
often,2,Azerbaijani; Kazakh,other,Azerbaijani,t͡ʃɔχ_vɑχt,tʃ ɔ χ + v ɑ χ t,A_oghuz,-1.0124,unknown,False
palm,2,Azerbaijani; Turkish,body_parts,Azerbaijani,ɔvud͡ʒ,ɔ v u dʒ,A_oghuz,-1.0644,unknown,False
palm,2,Azerbaijani; Turkish,body_parts,Turkish,avut͡ʃ,a v u tʃ,A_oghuz,-0.9156,unknown,False
pit,2,Azerbaijani; Kazakh,other,Kazakh,oɾ,o ɾ,A_kipchak,-1.0935,unknown,False
pit,2,Azerbaijani; Kazakh,other,Azerbaijani,t͡ʃuχur,tʃ u χ u r,A_oghuz,-0.8764,unknown,False
place,2,Turkish; Uzbek,spatial_temporal,Uzbek,d͡ʒɒj,dʒ ɒ j,A_kipchak,-1.0835,unknown,False
place,2,Turkish; Uzbek,spatial_temporal,Turkish,jɛɾ,j ɛ ɾ,A_oghuz,-0.8929,unknown,False
pointed,2,Azerbaijani; Kazakh,other,Kazakh,ʊʃkəɾ,ʊ ʃ k ə ɾ,A_kipchak,-1.1184,unknown,False
pointed,2,Azerbaijani; Kazakh,other,Azerbaijani,sɪvrɪ,s ɪ v r ɪ,A_oghuz,-0.8845,unknown,False
raw,2,Azerbaijani; Turkish,other,Azerbaijani,t͡ʃɪj,tʃ ɪ j,A_oghuz,-1.0373,unknown,False
raw,2,Azerbaijani; Turkish,other,Turkish,t͡ʃij,tʃ i j,A_oghuz,-0.9122,unknown,False
small,2,Chuvash; Turkmen,other,Turkmen,kiʨi(ʥik),k i ʨ i ʥ i k,A_oghuz,-1.8743,unknown,True
small,2,Chuvash; Turkmen,other,Chuvash,ˈpɘt͡ɕɘk,p ɘ tɕ ɘ k,C_chuvash,-1.5966,unknown,False
so,2,Turkish; Yakut,other,Turkish,œjlɛ,œ j l ɛ,A_oghuz,-0.9158,unknown,False
so,2,Turkish; Yakut,other,Yakut,ocːo,o cː o,B_yakut,-1.484,unknown,False
still,2,Kazakh; Turkish,other,Kazakh,ælə,æ l ə,A_kipchak,-1.0881,unknown,False
still,2,Kazakh; Turkish,other,Turkish,haːlaː,h aː l aː,A_oghuz,-0.8789,unknown,False
still,2,Kazakh; Turkish,other,Turkish,hɛnyz,h ɛ n y z,A_oghuz,-0.8789,unknown,False
string,2,Azerbaijani; Kazakh,material_culture,Kazakh,ʒəp,ʒ ə p,A_kipchak,-1.1509,unknown,False
string,2,Azerbaijani; Kazakh,material_culture,Azerbaijani,ɪp,ɪ p,A_oghuz,-1.0632,unknown,False
swarm,2,Kazakh; Turkish,body_parts,Kazakh,ʊjəɾ,ʊ j ə ɾ,A_kipchak,-1.0835,unknown,False
swarm,2,Kazakh; Turkish,body_parts,Turkish,syɾy,s y ɾ y,A_oghuz,-1.0035,unknown,False
thin,2,Kazakh; Turkish,other,Kazakh,ʒəŋəʃke,ʒ ə ŋ ə ʃ k e,A_kipchak,-1.0908,unknown,False
thin,2,Kazakh; Turkish,other,Turkish,ind͡ʒɛ,i n dʒ ɛ,A_oghuz,-0.8754,unknown,False
thought,2,Azerbaijani; Turkish,cognitive_abstract,Turkish,dyʃynd͡ʒɛ,d y ʃ y n dʒ ɛ,A_oghuz,-0.9473,unknown,False
thought,2,Azerbaijani; Turkish,cognitive_abstract,Azerbaijani,dyʃynd͡ʒæ,d y ʃ y n dʒ æ,A_oghuz,-0.9204,unknown,False
tree,2,Turkmen; Uzbek,flora,Uzbek,daraχt,d a r a χ t,A_kipchak,-1.218,unknown,False
tree,2,Turkmen; Uzbek,flora,Turkmen,aɣaʨ,a ɣ a tɕ,A_oghuz,-1.629,mongolic_candidate,True
willow,2,Azerbaijani; Turkish,flora,Turkish,sœjyt,s œ j y t,A_oghuz,-0.9936,unknown,False
willow,2,Azerbaijani; Turkish,flora,Azerbaijani,sœjyd,s œ j y d,A_oghuz,-0.9539,unknown,False
wish,2,Chuvash; Kazakh,cognitive_abstract,Kazakh,mʊdːe,m ʊ dː e,A_kipchak,-2.2809,unknown,False
wish,2,Chuvash; Kazakh,cognitive_abstract,Chuvash,ˈɘmɘt,ɘ m ɘ t,C_chuvash,-1.2553,unknown,False
woman,2,Kazakh; Yakut,kinship,Kazakh,bɪjke,b ɪ j k e,A_kipchak,-1.2314,unknown,False
woman,2,Kazakh; Yakut,kinship,Yakut,ɟaxtaɾ,ɟ a x t a ɾ,B_yakut,-1.3983,unknown,False
wood,2,Kazakh; Turkish,other,Kazakh,ɑʁɑʃ,ɑ ʁ ɑ ʃ,A_kipchak,-1.1957,unknown,False
wood,2,Kazakh; Turkish,other,Turkish,aːat͡ʃ,aː a tʃ,A_oghuz,-0.9141,unknown,False
worker,2,Azerbaijani; Kazakh,social_political,Kazakh,ʒʊməsʃə,ʒ ʊ m ə s ʃ ə,A_kipchak,-1.1423,unknown,False
worker,2,Azerbaijani; Kazakh,social_political,Azerbaijani,ɪʃt͡ʃɪ,ɪ ʃ tʃ ɪ,A_oghuz,-1.0129,unknown,False
