language,gloss,form,ipa_tokens,cogid,is_loan,reason
Uzbek,turn out,bolmɒq,b o l m ɒ q,,False,
Uzbek,open,ɒt͡ʃmɒq,ɒ tʃ m ɒ q,,False,
Uzbek,close,jɒpmɒq,j ɒ p m ɒ q,,False,
Uzbek,put,qojmɒq,q o j m ɒ q,,False,
Uzbek,place,otqazmɒq,o t q a z m ɒ q,,False,
Uzbek,lay,jɒtqizmɒq,j ɒ t q i z m ɒ q,,False,
Uzbek,touch,tɛɡmɒq,t ɛ g m ɒ q,,False,
Uzbek,connect,ulamɒq,u l a m ɒ q,,False,
Uzbek,cover,bɛkitmɒq,b ɛ k i t m ɒ q,,False,
Uzbek,hang up,ildirmɒq,i l d i r m ɒ q,,False,
Uzbek,light,jɒndirmɒq,j ɒ n d i r m ɒ q,,False,
Uzbek,pick up,kotarmɒq,k o t a r m ɒ q,,False,
Uzbek,leave,ajrilmɒq,a j r i l m ɒ q,,False,
Uzbek,lose,joqɒtmɒq,j o q ɒ t m ɒ q,,False,
Uzbek,drop,tuʃirmɒq,t u ʃ i r m ɒ q,,False,
Uzbek,make,qilmɒq,q i l m ɒ q,,False,
Uzbek,produce,t͡ʃiqarmɒq,tʃ i q a r m ɒ q,,False,
Uzbek,build,sɒlmɒq,s ɒ l m ɒ q,,False,
Uzbek,"repair, mend",tuzatmɒq,t u z a t m ɒ q,,False,
Uzbek,improve,islɒh_qilmɒq,i s l ɒ h + q i l m ɒ q,,True,phon_strong:ar_pe_h
Uzbek,alter,ozɡartirmɒq,o z g a r t i r m ɒ q,,False,
Uzbek,dig,qazimɒq,q a z i m ɒ q,,False,
Uzbek,bow,bukmɒq,b u k m ɒ q,,False,
Uzbek,bend,bukmɒq,b u k m ɒ q,,False,
Uzbek,spin,ajlantirmɒq,a j l a n t i r m ɒ q,,False,
Uzbek,turn over,burmɒq,b u r m ɒ q,,False,
Uzbek,"turn, turn around",aɣdarmɒq,a ɣ d a r m ɒ q,,False,
Uzbek,raise,juksaltirmɒq,j u k s a l t i r m ɒ q,,False,
Uzbek,lift,kotarmɒq,k o t a r m ɒ q,,False,
Uzbek,seize,tutamlamɒq,t u t a m l a m ɒ q,,False,
Uzbek,hold,tutmɒq,t u t m ɒ q,,False,
Uzbek,press,bɒsmɒq,b ɒ s m ɒ q,,False,
Uzbek,push,surmɒq,s u r m ɒ q,,False,
Uzbek,scrape,qaʃimɒq,q a ʃ i m ɒ q,,False,
Uzbek,lick,mid͡ʒimɒq,m i dʒ i m ɒ q,,False,
Uzbek,bite,tiʃlamɒq,t i ʃ l a m ɒ q,,False,
Uzbek,tear off,ɛmirmɒq,ɛ m i r m ɒ q,,False,
Uzbek,cut off,t͡ʃort_kɛsmɒq,tʃ o r t + k ɛ s m ɒ q,,False,
Uzbek,tie,bɒɣlamɒq,b ɒ ɣ l a m ɒ q,,False,
Uzbek,stick,suqmɒq,s u q m ɒ q,,False,
Uzbek,break,sindirmɒq,s i n d i r m ɒ q,,False,
Uzbek,knock,dukurlamɒq,d u k u r l a m ɒ q,,False,
Uzbek,hit,urmɒq,u r m ɒ q,,False,
Uzbek,glue,jɒpiʃtirmɒq,j ɒ p i ʃ t i r m ɒ q,,False,
Uzbek,rub,surkamɒq,s u r k a m ɒ q,,False,
Uzbek,spread,surkamɒq,s u r k a m ɒ q,,False,
Uzbek,sharpen,qajramɒq,q a j r a m ɒ q,,False,
Uzbek,cut,kɛsmɒq,k ɛ s m ɒ q,,False,
Uzbek,jog,t͡ʃajqamɒq,tʃ a j q a m ɒ q,,False,
Uzbek,shake,t͡ʃajqamɒq,tʃ a j q a m ɒ q,,False,
Uzbek,swing,t͡ʃajqatmɒq,tʃ a j q a t m ɒ q,,False,
Uzbek,pour,qujmɒq,q u j m ɒ q,,False,
Uzbek,fill,toldirmɒq,t o l d i r m ɒ q,,False,
Uzbek,wrap,t͡ʃulɣamɒq,tʃ u l ɣ a m ɒ q,,False,
Uzbek,carry,taʃimɒq,t a ʃ i m ɒ q,,False,
Uzbek,drag,sudramɒq,s u d r a m ɒ q,,False,
Uzbek,pull,tɒrtmɒq,t ɒ r t m ɒ q,,False,
Uzbek,keep,tutmɒq,t u t m ɒ q,,False,
Uzbek,throw,taʃlamɒq,t a ʃ l a m ɒ q,,False,
Uzbek,catch,tutmɒq,t u t m ɒ q,,False,
Uzbek,grab,ɒpqɒt͡ʃmɒq,ɒ p q ɒ tʃ m ɒ q,,False,
Uzbek,hide,jaʃirmɒq,j a ʃ i r m ɒ q,,False,
Uzbek,divide,bolmɒq,b o l m ɒ q,,False,
Uzbek,send,jubɒrmɒq,j u b ɒ r m ɒ q,,False,
Uzbek,bring,kɛltirmɒq,k ɛ l t i r m ɒ q,,False,
Uzbek,add,tirkamɒq,t i r k a m ɒ q,,False,
