ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
6080	Yakut	trap	s o x s o	soxso	3 7 3 3 7	AXMBZ	SUGSU	9	9.S.C 9.U.V 9.G.c 9.S.C 9.U.V	2.0 1.5 1.1 1.75 0.8	0	1377
298	Azerbaijani	tree	a ɣ a ʥ	aɣaǰ	7 3 7 2	XBYN	AGAC	1	1.A.V 1.G.C 1.A.V 1.C.c	1.5 1.75 1.3 0.8	0	1378
299	Chuvash	tree	j ɯ v ə ɕ	jɯvə̈ɕ	6 7 3 7 3	AXBYN	JIBES	2	2.J.C 2.I.V 2.B.C 2.E.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	1378
300	Kazakh	tree	a ɣ a ʃ	aɣaʃ	7 3 7 3	XBYN	AGAS	3	3.A.V 3.G.C 3.A.V 3.S.c	1.5 1.75 1.3 0.8	0	1378
301	Kyrgyz	tree	ʥ ɯ ɣ a ʨ	ʥɯɣaʨ	2 7 3 7 2	AXBYN	CIGAC	4	4.C.C 4.I.V 4.G.C 4.A.V 4.C.c	2.0 1.5 1.75 1.3 0.8	0	1381
302	Turkish	tree	a ɣ a tɕ	aɣaʨ	7 3 7 2	XBYN	AGAC	5	5.A.V 5.G.C 5.A.V 5.C.c	1.5 1.75 1.3 0.8	0	1378
303	Turkmen	tree	a ɣ a tɕ	aɣaʨ	7 3 7 2	XBYN	AGAC	6	6.A.V 6.G.C 6.A.V 6.C.c	1.5 1.75 1.3 0.8	0	1383
304	Uyghur	tree	j a ɣ a tɕ	jaɣaʨ	6 7 3 7 2	AXBYN	JAGAC	7	7.J.C 7.A.V 7.G.C 7.A.V 7.C.c	2.0 1.5 1.75 1.3 0.8	0	1384
305	Yakut	tree	m a s	mas	4 7 3	AXN	MAS	9	9.M.C 9.A.V 9.S.c	2.0 1.5 0.8	0	1378
338	Uzbek	tree	d a r a χ t	daraχt	1 7 5 7 3 1	AXBYLN	TARAGT	8	8.T.C 8.A.V 8.R.C 8.A.V 8.G.c 8.T.c	2.0 1.5 1.75 1.3 1.1 0.8	0	1378
1184	Turkish	tremble	t i t ɾ ɛ m ɛ k	titɾɛmɛk	1 7 1 5 7 4 7 1	AXBCYBYN	TITREMEK	5	5.T.C 5.I.V 5.T.C 5.R.C 5.E.V 5.M.C 5.E.V 5.K.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	1	1385
2279	Azerbaijani	tremble	t ɪ t r æ m æ k	tɪtræmæk	1 7 1 5 7 4 7 1	AXBCYBYN	TITREMEK	1	1.T.C 1.I.V 1.T.C 1.R.C 1.E.V 1.M.C 1.E.V 1.K.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	1385
