language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag,domain
Uzbek,summit,t͡ʃoqːi,tʃ o qː i,A_kipchak,northeuralex,-1.0944,-1.0944,True,True,unknown,False,natural_world
Kazakh,"peel, husk",qɑbəʁə,q ɑ b ə ʁ ə,A_kipchak,northeuralex,-1.0935,-1.0935,True,True,unknown,False,flora
Kazakh,pit,oɾ,o ɾ,A_kipchak,northeuralex,-1.0935,-1.0935,True,True,unknown,False,other
Kazakh,path,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False,social_political
Kazakh,way,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False,social_political
Kazakh,road,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False,social_political
Kazakh,thin,ʒəŋəʃke,ʒ ə ŋ ə ʃ k e,A_kipchak,northeuralex,-1.0908,-1.0908,True,True,unknown,False,other
Kazakh,first,ɑlʁɑʃqə,ɑ l ʁ ɑ ʃ q ə,A_kipchak,northeuralex,-1.0893,-1.0893,True,True,unknown,False,flora
Kazakh,character,æɾəp,æ ɾ ə p,A_kipchak,northeuralex,-1.0885,-1.0885,True,True,unknown,False,other
Kazakh,still,ælə,æ l ə,A_kipchak,northeuralex,-1.0881,-1.0881,True,True,unknown,False,other
Kazakh,doctor,dæɾəɡeɾ,d æ ɾ ə g e ɾ,A_kipchak,northeuralex,-1.0872,-1.0872,True,True,unknown,False,social_political
Kazakh,seven,ʒetə,ʒ e t ə,A_kipchak,northeuralex,-1.0867,-1.0867,True,True,unknown,False,other
Kazakh,living,təɾə,t ə ɾ ə,A_kipchak,northeuralex,-1.0861,-1.0861,True,True,unknown,False,other
Kazakh,pig,ʃoʃqɑ,ʃ o ʃ q ɑ,A_kipchak,northeuralex,-1.0858,-1.0858,True,True,unknown,False,fauna
Kazakh,next to,əɾɡede,ə ɾ g e d e,A_kipchak,northeuralex,-1.0856,-1.0856,True,True,unknown,False,other
Uzbek,place,d͡ʒɒj,dʒ ɒ j,A_kipchak,northeuralex,-1.0835,-1.0835,True,True,unknown,False,spatial_temporal
Kazakh,swarm,ʊjəɾ,ʊ j ə ɾ,A_kipchak,northeuralex,-1.0835,-1.0835,True,True,unknown,False,body_parts
Kazakh,nine,toʁəz,t o ʁ ə z,A_kipchak,northeuralex,-1.0829,-1.0829,True,True,unknown,False,other
Uzbek,sleeve,jɛŋ,j ɛ ŋ,A_kipchak,northeuralex,-1.0823,-1.0823,True,True,unknown,False,material_culture
Kazakh,today,bʊɡən,b ʊ g ə n,A_kipchak,northeuralex,-1.0797,-1.0797,True,True,unknown,False,spatial_temporal
Uzbek,stove,pɛt͡ʃka,p ɛ tʃ k a,A_kipchak,northeuralex,-1.0788,-1.0788,True,True,unknown,False,material_culture
Kazakh,expensive,bɑʁɑlə,b ɑ ʁ ɑ l ə,A_kipchak,northeuralex,-1.0784,-1.0784,True,True,unknown,False,other
Kazakh,"cover, lid",ʒɑpqəʃ,ʒ ɑ p q ə ʃ,A_kipchak,northeuralex,-1.0782,-1.0782,True,True,unknown,False,natural_world
Kazakh,under,tʊp,t ʊ p,A_kipchak,northeuralex,-1.0774,-1.0774,True,True,unknown,False,other
Kazakh,half,ʒɑɾtə,ʒ ɑ ɾ t ə,A_kipchak,northeuralex,-1.0768,-1.0768,True,True,unknown,False,cognitive_abstract
Kazakh,green,ʒɑsəl,ʒ ɑ s ə l,A_kipchak,northeuralex,-1.0761,-1.0761,True,True,unknown,False,other
Kazakh,dream,tʊs,t ʊ s,A_kipchak,northeuralex,-1.076,-1.076,True,True,unknown,False,body_parts
Kazakh,milk,sʊt,s ʊ t,A_kipchak,northeuralex,-1.076,-1.076,True,True,unknown,False,herding_pastoralism
Kazakh,fresh,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False,other
Kazakh,new,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False,other
Kazakh,again,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,northeuralex,-1.0759,-1.0759,True,True,unknown,False,other
Kazakh,talk,æŋɡəme,æ ŋ g ə m e,A_kipchak,northeuralex,-1.0757,-1.0757,True,True,unknown,False,cognitive_abstract
Kazakh,story,æŋɡəme,æ ŋ g ə m e,A_kipchak,northeuralex,-1.0757,-1.0757,True,True,unknown,False,cognitive_abstract
Kazakh,glass,ʃənə,ʃ ə n ə,A_kipchak,northeuralex,-1.0756,-1.0756,True,True,unknown,False,metallurgy_materials
Kazakh,fringe,ʃetə,ʃ e t ə,A_kipchak,northeuralex,-1.0755,-1.0755,True,True,unknown,False,material_culture
Kazakh,odour,ɪjəs,ɪ j ə s,A_kipchak,northeuralex,-1.0751,-1.0751,True,True,unknown,False,body_parts
Turkmen,horn,Sah,ʃ a h,A_oghuz,lexstat,-2.386,-2.386,True,True,unknown,True,fauna
Turkish,clever,zɛkiː,z ɛ k iː,A_oghuz,northeuralex,-1.9189,-1.9189,True,True,unknown,False,other
Turkmen,small,kiʨi(ʥik),k i ʨ i ʥ i k,A_oghuz,savelyev,-1.8743,-1.8743,True,True,unknown,True,other
Turkmen,tree,aɣaʨ,a ɣ a tɕ,A_oghuz,savelyev,-1.629,-1.629,True,True,mongolic_candidate,True,flora
Turkmen,what,nɛme,n æ m e,A_oghuz,savelyev,-1.6173,-1.6173,True,True,unknown,True,other
Turkmen,bone,syŋk,s y ŋ k,A_oghuz,savelyev,-1.5433,-1.5433,True,True,unknown,True,body_parts
Azerbaijani,all,dyʃ,d y ʃ,A_oghuz,lexstat,-1.241,-1.241,True,True,unknown,False,cognitive_abstract
Azerbaijani,arrow,ɔχ,ɔ χ,A_oghuz,northeuralex,-1.1968,-1.1968,True,True,unknown,False,social_political
Turkish,three,yt͡ʃ,y tʃ,A_oghuz,northeuralex,-1.1904,-1.1904,True,True,unknown,False,other
Turkish,he,o,o,A_oghuz,northeuralex,-1.1765,-1.1765,True,True,unknown,False,other
Azerbaijani,very,t͡ʃɔχ,tʃ ɔ χ,A_oghuz,northeuralex,-1.1745,-1.1745,True,True,unknown,False,other
Turkish,all,dyʃ,d y ʃ,A_oghuz,lexstat,-1.1659,-1.1659,True,True,unknown,False,cognitive_abstract
Azerbaijani,three,yt͡ʃ,y tʃ,A_oghuz,northeuralex,-1.1382,-1.1382,True,True,unknown,False,other
Azerbaijani,force,ɟyd͡ʒ,ɟ y dʒ,A_oghuz,northeuralex,-1.1338,-1.1338,True,True,unknown,False,other
Azerbaijani,he,ɔ,ɔ,A_oghuz,northeuralex,-1.1189,-1.1189,True,True,unknown,False,other
Azerbaijani,house,ɛv,ɛ v,A_oghuz,northeuralex,-1.1129,-1.1129,True,True,unknown,False,material_culture
Azerbaijani,home,ɛv,ɛ v,A_oghuz,northeuralex,-1.1129,-1.1129,True,True,unknown,False,material_culture
Turkish,third,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,northeuralex,-1.1082,-1.1082,True,True,unknown,False,other
Azerbaijani,stove,pɛt͡ʃ,p ɛ tʃ,A_oghuz,northeuralex,-1.1026,-1.1026,True,True,unknown,False,material_culture
Azerbaijani,third,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,northeuralex,-1.0656,-1.0656,True,True,unknown,False,other
Azerbaijani,palm,ɔvud͡ʒ,ɔ v u dʒ,A_oghuz,northeuralex,-1.0644,-1.0644,True,True,unknown,False,body_parts
Azerbaijani,string,ɪp,ɪ p,A_oghuz,northeuralex,-1.0632,-1.0632,True,True,unknown,False,material_culture
Turkish,body,vyd͡ʒut,v y dʒ u t,A_oghuz,northeuralex,-1.0562,-1.0562,True,True,unknown,False,body_parts
Turkish,house,ɛv,ɛ v,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False,material_culture
Turkish,home,ɛv,ɛ v,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False,material_culture
Turkish,and,vɛ,v ɛ,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False,other
Azerbaijani,raw,t͡ʃɪj,tʃ ɪ j,A_oghuz,northeuralex,-1.0373,-1.0373,True,True,unknown,False,other
Turkish,blanket,œɾty,œ ɾ t y,A_oghuz,northeuralex,-1.0299,-1.0299,True,True,unknown,False,material_culture
Turkish,net,aː,aː,A_oghuz,northeuralex,-1.0205,-1.0205,True,True,unknown,False,material_culture
Azerbaijani,tip,ud͡ʒ,u dʒ,A_oghuz,northeuralex,-1.018,-1.018,True,True,unknown,False,spatial_temporal
Turkish,before,œnd͡ʒɛ,œ n dʒ ɛ,A_oghuz,northeuralex,-1.0158,-1.0158,True,True,unknown,False,other
Azerbaijani,worker,ɪʃt͡ʃɪ,ɪ ʃ tʃ ɪ,A_oghuz,northeuralex,-1.0129,-1.0129,True,True,unknown,False,social_political
Azerbaijani,often,t͡ʃɔχ_vɑχt,tʃ ɔ χ + v ɑ χ t,A_oghuz,northeuralex,-1.0124,-1.0124,True,True,unknown,False,other
Azerbaijani,powerful,ɟyd͡ʒly,ɟ y dʒ l y,A_oghuz,northeuralex,-1.0106,-1.0106,True,True,unknown,False,social_political
Azerbaijani,fire,ɔd,ɔ d,A_oghuz,northeuralex,-1.0082,-1.0082,True,True,unknown,False,natural_world
Azerbaijani,night,ɟɛd͡ʒæ,ɟ ɛ dʒ æ,A_oghuz,northeuralex,-1.0068,-1.0068,True,True,unknown,False,spatial_temporal
Turkish,company,t͡ʃɛvɾɛ,tʃ ɛ v ɾ ɛ,A_oghuz,northeuralex,-1.0063,-1.0063,True,True,unknown,False,cognitive_abstract
Azerbaijani,cross,χɑt͡ʃ,χ ɑ tʃ,A_oghuz,northeuralex,-1.006,-1.006,True,True,unknown,False,other
Turkish,flock,syɾy,s y ɾ y,A_oghuz,northeuralex,-1.0035,-1.0035,True,True,unknown,False,fauna
Turkish,swarm,syɾy,s y ɾ y,A_oghuz,northeuralex,-1.0035,-1.0035,True,True,unknown,False,body_parts
Turkish,grass,ot,o t,A_oghuz,northeuralex,-1.0025,-1.0025,True,True,unknown,False,flora
Azerbaijani,sort,t͡ʃɛʃɪd,tʃ ɛ ʃ ɪ d,A_oghuz,northeuralex,-1.0002,-1.0002,True,True,unknown,False,cognitive_abstract
Turkish,walk,jyɾyjyʃ,j y ɾ y j y ʃ,A_oghuz,northeuralex,-0.9998,-0.9998,True,True,unknown,False,verbs_actions
Azerbaijani,sky,ɟœj,ɟ œ j,A_oghuz,northeuralex,-0.9994,-0.9994,True,True,unknown,False,natural_world
Azerbaijani,blue,ɟœj,ɟ œ j,A_oghuz,northeuralex,-0.9994,-0.9994,True,True,unknown,False,other
Turkish,teacher,hod͡ʒa,h o dʒ a,A_oghuz,northeuralex,-0.9981,-0.9981,True,True,unknown,False,food_drink
Turkish,tip,ut͡ʃ,u tʃ,A_oghuz,northeuralex,-0.9963,-0.9963,True,True,unknown,False,spatial_temporal
Turkish,end,ut͡ʃ,u tʃ,A_oghuz,northeuralex,-0.9963,-0.9963,True,True,unknown,False,spatial_temporal
Turkish,willow,sœjyt,s œ j y t,A_oghuz,northeuralex,-0.9936,-0.9936,True,True,unknown,False,flora
Azerbaijani,because of,yt͡ʃyn,y tʃ y n,A_oghuz,northeuralex,-0.9896,-0.9896,True,True,unknown,False,other
Turkish,area,jœɾɛ,j œ ɾ ɛ,A_oghuz,northeuralex,-0.9859,-0.9859,True,True,unknown,False,spatial_temporal
Azerbaijani,weak,ɟyd͡ʒsyz,ɟ y dʒ s y z,A_oghuz,northeuralex,-0.9779,-0.9779,True,True,unknown,False,other
Azerbaijani,mirror,ɟyzɟy,ɟ y z ɟ y,A_oghuz,northeuralex,-0.9704,-0.9704,True,True,unknown,False,material_culture
Azerbaijani,joy,sɛvɪnd͡ʒ,s ɛ v ɪ n dʒ,A_oghuz,northeuralex,-0.9692,-0.9692,True,True,unknown,False,cognitive_abstract
Turkish,desire,hɛvɛs,h ɛ v ɛ s,A_oghuz,northeuralex,-0.9619,-0.9619,True,True,unknown,False,cognitive_abstract
