ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
301	Kyrgyz	tree	ʥ ɯ ɣ a ʨ	ʥɯɣaʨ	2 7 3 7 2	AXBYN	CIGAC	4	4.C.C 4.I.V 4.G.C 4.A.V 4.C.c	2.0 1.5 1.75 1.3 0.8	0	224
302	Turkish	tree	a ɣ a tɕ	aɣaʨ	7 3 7 2	XBYN	AGAC	5	5.A.V 5.G.C 5.A.V 5.C.c	1.5 1.75 1.3 0.8	0	225
303	Turkmen	tree	a ɣ a tɕ	aɣaʨ	7 3 7 2	XBYN	AGAC	6	6.A.V 6.G.C 6.A.V 6.C.c	1.5 1.75 1.3 0.8	0	226
304	Uyghur	tree	j a ɣ a tɕ	jaɣaʨ	6 7 3 7 2	AXBYN	JAGAC	7	7.J.C 7.A.V 7.G.C 7.A.V 7.C.c	2.0 1.5 1.75 1.3 0.8	0	227
305	Yakut	tree	m a s	mas	4 7 3	AXN	MAS	9	9.M.C 9.A.V 9.S.c	2.0 1.5 0.8	0	229
338	Uzbek	tree	d a r a χ t	daraχt	1 7 5 7 3 1	AXBYLN	TARAGT	8	8.T.C 8.A.V 8.R.C 8.A.V 8.G.c 8.T.c	2.0 1.5 1.75 1.3 1.1 0.8	0	228
306	Azerbaijani	two	i k i	iki	7 1 7	XBZ	IKI	1	1.I.V 1.K.C 1.I.V	1.5 1.75 0.8	0	230
307	Chuvash	two	i k ĭ	ikkɘ, igɘ, ik	7 1 7	XBZ	IKI	2	2.I.V 2.K.C 2.I.V	1.5 1.75 0.8	0	230
308	Kazakh	two	e k ĭ	ekɘ	7 1 7	XBZ	EKI	3	3.E.V 3.K.C 3.I.V	1.5 1.75 0.8	0	230
309	Kyrgyz	two	e k i	eki	7 1 7	XBZ	EKI	4	4.E.V 4.K.C 4.I.V	1.5 1.75 0.8	0	230
310	Turkish	two	i k i	iki	7 1 7	XBZ	IKI	5	5.I.V 5.K.C 5.I.V	1.5 1.75 0.8	0	230
311	Turkmen	two	i k i	iki	7 1 7	XBZ	IKI	6	6.I.V 6.K.C 6.I.V	1.5 1.75 0.8	0	230
312	Uyghur	two	i kː i	ikki	7 1 7	XBZ	IKI	7	7.I.V 7.K.C 7.I.V	1.5 1.75 0.8	0	230
313	Uzbek	two	i kː i	ikki	7 1 7	XBZ	IKI	8	8.I.V 8.K.C 8.I.V	1.5 1.75 0.8	0	230
314	Yakut	two	i kː i	ikki	7 1 7	XBZ	IKI	9	9.I.V 9.K.C 9.I.V	1.5 1.75 0.8	0	230
10	Azerbaijani	we	b i z	biz	1 7 3	AXN	PIS	1	1.P.C 1.I.V 1.S.c	2.0 1.5 0.8	0	231
11	Chuvash	we	e b i r	ebir	7 1 7 5	XBYN	EPIR	2	2.E.V 2.P.C 2.I.V 2.R.c	1.5 1.75 1.3 0.8	0	232
12	Kazakh	we	b ĭ z	bɘz	1 7 3	AXN	PIS	3	3.P.C 3.I.V 3.S.c	2.0 1.5 0.8	0	231
13	Kyrgyz	we	b i z	biz	1 7 3	AXN	PIS	4	4.P.C 4.I.V 4.S.c	2.0 1.5 0.8	0	231
14	Turkish	we	b i z	biz	1 7 3	AXN	PIS	5	5.P.C 5.I.V 5.S.c	2.0 1.5 0.8	0	231
15	Turkmen	we	b i z	biz	1 7 3	AXN	PIS	6	6.P.C 6.I.V 6.S.c	2.0 1.5 0.8	0	231
16	Uyghur	we	b i z	biz	1 7 3	AXN	PIS	7	7.P.C 7.I.V 7.S.c	2.0 1.5 0.8	0	231
17	Uzbek	we	b i z	biz	1 7 3	AXN	PIS	8	8.P.C 8.I.V 8.S.c	2.0 1.5 0.8	0	231
18	Yakut	we	b i h i g i	bihigi	1 7 3 7 1 7	AXBYBZ	PIHIKI	9	9.P.C 9.I.V 9.H.C 9.I.V 9.K.C 9.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	239
315	Azerbaijani	what	n æ	nɛ	4 7	AX	NE	1	1.N.C 1.E.V	2.0 1.5	0	240
316	Chuvash	what	m ĭ n	mɘn	4 7 4	AXN	MIN	2	2.M.C 2.I.V 2.N.c	2.0 1.5 0.8	0	241
