language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups
Uzbek,feather,je,j e,lexstat,-0.7381,-1.0381,True,False,False,2,2
Azerbaijani,egg,jumurta,j u m u r t a,savelyev,-0.5799,-0.5799,False,False,False,7,7
Chuvash,egg,ɕömarda,ɕ ŏ m a r d a,savelyev,-0.8552,-0.8552,False,False,False,7,7
Kazakh,egg,ʒŭmɯrtqa,ʒ u m ɯ r t q a,savelyev,-0.6758,-0.6758,False,False,False,8,8
Kyrgyz,egg,ʥumurtqa,ʥ u m u r t q a,savelyev,-0.1785,-0.1785,False,False,True,8,8
Turkish,egg,jumurta,j u m u r t a,savelyev,-0.635,-0.635,False,False,False,7,7
Turkmen,egg,jumurtɢa,j u m u r t ɢ a,savelyev,-0.1234,-0.1234,False,False,True,8,8
Yakut,egg,sɯmɯ:t,s ɯ m ɯː t,savelyev,-1.2229,-1.2229,False,False,False,5,5
Azerbaijani,eye,køz,k ø z,savelyev,-0.3172,-0.3172,False,False,False,3,3
Chuvash,eye,kuɕ,k u ɕ,savelyev,-1.0814,-1.0814,False,False,False,3,3
Kazakh,eye,køz,k ø z,savelyev,-0.7625,-0.7625,False,False,False,3,3
Kyrgyz,eye,køz,k ø z,savelyev,-0.2642,-0.2642,False,False,True,3,3
Turkish,eye,gøz,g ø z,savelyev,-0.3627,-0.3627,False,False,False,3,3
Turkmen,eye,gøz,g ø z,savelyev,-0.0866,-0.0866,False,False,True,3,3
Uyghur,eye,køz,k ø z,savelyev,-0.2225,-0.2225,False,False,True,3,3
Uzbek,eye,koz,k o z,savelyev,-0.8306,-0.8306,False,False,False,3,3
Yakut,eye,χaraχ,χ a r a χ,savelyev,-0.8847,-0.8847,False,False,False,5,5
Kazakh,all,? ʒɯɣɯl,ʒ ɯ ɣ ɯ l,lexstat,-0.8195,-1.1195,True,False,False,5,5
Kyrgyz,all,ʥɯɣɯl,ʥ ɯ ɣ ɯ l,lexstat,-1.369,-1.669,True,False,True,5,5
Turkmen,all,jɯqɯl,j ɯ q ɯ l,lexstat,-0.2637,-0.5637,True,False,True,5,5
Uyghur,all,ʒiqil,ʒ i q i l,lexstat,-1.401,-1.701,True,False,True,5,5
Uzbek,all,jiqil,j i q i l,lexstat,-0.8056,-1.1056,True,False,False,5,5
Azerbaijani,all,dyʃ,d y ʃ,lexstat,-0.941,-1.241,True,False,False,3,3
Turkish,all,dyʃ,d y ʃ,lexstat,-0.8659,-1.1659,True,False,False,3,3
Yakut,all,tys,t y s,lexstat,-1.3245,-1.6245,True,False,False,3,3
Chuvash,all,yk,y k,lexstat,-1.1483,-1.4483,True,False,False,2,2
Kazakh,grease,maj,m a j,savelyev,-0.6335,-0.6335,False,False,False,3,3
Kyrgyz,grease,maj,m a j,savelyev,-0.1595,-0.1595,False,False,True,3,3
Uyghur,grease,maj,m a j,savelyev,-0.1366,-0.1366,False,False,True,3,3
Azerbaijani,grease,jaɣ,j a ɣ,savelyev,-0.7394,-0.7394,False,False,False,3,3
Chuvash,grease,ɕu,ɕ u,savelyev,-1.0852,-1.0852,False,False,False,2,2
Turkish,grease,jaɣ,j a ɣ,savelyev,-0.6262,-0.6262,False,False,False,3,3
Turkmen,grease,jaɣ,j a ɣ,savelyev,-2.2015,-2.2015,False,False,True,3,3
Uzbek,grease,jɔɣ,j ɔ ɣ,savelyev,-0.709,-0.709,False,False,False,3,3
Yakut,grease,sɯa,s ɯ a,savelyev,-1.132,-1.132,False,False,False,3,3
Azerbaijani,fish,balɯɢ,b a l ɯ ɢ,savelyev,-0.4206,-0.4206,False,False,False,5,5
Chuvash,fish,pulə̈,p u l ə,savelyev,-0.9247,-0.9247,False,False,False,4,4
Kazakh,fish,balɯq,b a l ɯ q,savelyev,-0.6861,-0.6861,False,False,False,5,5
Kyrgyz,fish,balɯq,b a l ɯ q,savelyev,-0.2018,-0.2018,False,False,True,5,5
Turkish,fish,balɯq,b a l ɯ q,savelyev,-0.4833,-0.4833,False,False,False,5,5
Turkmen,fish,balɯq,b a l ɯ q,savelyev,-0.1936,-0.1936,False,False,True,5,5
Uyghur,fish,beliq,b e l i q,savelyev,-0.1474,-0.1474,False,False,True,5,5
Uzbek,fish,baliq,b a l i q,savelyev,-0.7494,-0.7494,False,False,False,5,5
Yakut,fish,balɯk,b a l ɯ k,savelyev,-0.9524,-0.9524,False,False,False,5,5
Azerbaijani,head,alɯn,a l ɯ n,savelyev,-0.5063,-0.5063,False,False,False,4,4
Turkish,head,alɯn,a l ɯ n,savelyev,-0.5623,-0.5623,False,False,False,4,4
Turkmen,head,? alɯn,a l ɯ n,lexstat,-0.2636,-0.5636,True,False,True,4,4
Yakut,head,sy:s,s yː s,savelyev,-1.2839,-1.2839,False,False,False,3,3
Chuvash,head,ɕamga,ɕ a m g a,savelyev,-1.0747,-1.0747,False,False,False,5,5
Kyrgyz,head,ʨeke,tɕ e k e,savelyev,-0.4718,-0.4718,False,False,True,4,4
Azerbaijani,hair,saʨ,s a tɕ,savelyev,-0.427,-0.427,False,False,False,3,3
Chuvash,hair,ɕyɕ,ɕ y ɕ,savelyev,-1.2064,-1.2064,False,False,False,3,3
Kazakh,hair,ʃaʃ,ʃ a ʃ,savelyev,-0.9099,-0.9099,False,False,False,3,3
Kyrgyz,hair,ʨaʨ,tɕ a tɕ,savelyev,-0.0919,-0.0919,False,False,True,3,3
Turkish,hair,saʨ,s a tɕ,savelyev,-0.6129,-0.6129,False,False,False,3,3
Turkmen,hair,saʨ,s a tɕ,savelyev,-0.1438,-0.1438,False,False,True,3,3
Uyghur,hair,ʨaʨ,tɕ a tɕ,savelyev,-0.3618,-0.3618,False,False,True,3,3
Uzbek,hair,sɔʨ,s ɔ tɕ,savelyev,-0.3974,-0.3974,False,False,False,3,3
Yakut,hair,as,a s,savelyev,-1.155,-1.155,False,False,False,2,2
Kazakh,head,bas,b a s,savelyev,-0.7149,-0.7149,False,False,False,3,3
Uyghur,head,baʃ,b a ʃ,savelyev,-0.2071,-0.2071,False,False,True,3,3
Uzbek,head,bɔʃ,b ɔ ʃ,savelyev,-0.6474,-0.6474,False,False,False,3,3
Azerbaijani,horn,bujnuz,b u j n u z,savelyev,-0.6967,-0.6967,False,False,False,6,6
Chuvash,horn,möjraga,m ŏ j r a g a,savelyev,-0.8982,-0.8982,False,False,False,7,7
Kazakh,horn,myjɘz,m y j ĭ z,savelyev,-0.617,-0.617,False,False,False,5,5
Kyrgyz,horn,myjyz,m y j y z,savelyev,-2.468,-2.468,False,False,True,5,5
Turkish,horn,bojnuz,b o j n u z,savelyev,-0.7994,-0.7994,False,False,False,6,6
Uyghur,horn,? myŋgyz,m y ŋ g y z,savelyev,-3.0289,-3.0289,False,False,True,6,6
Yakut,horn,muos,m u o s,savelyev,-1.2687,-1.2687,False,False,False,4,4
Azerbaijani,leaf,jarpaɢ,j a r p a ɢ,savelyev,-0.527,-0.527,False,False,False,6,6
Kazakh,leaf,ʒapɯraq,ʒ a p ɯ r a q,savelyev,-0.6774,-0.6774,False,False,False,7,7
Kyrgyz,leaf,ʥalbɯraq,ʥ a l b ɯ r a q,savelyev,-0.2164,-0.2164,False,False,True,8,8
Turkish,leaf,japrak,j a p r a k,savelyev,-0.5088,-0.5088,False,False,False,6,6
Turkmen,leaf,japraq,j a p r a q,savelyev,-0.1497,-0.1497,False,False,True,6,6
Uyghur,leaf,jopurmaq,j o p u r m a q,savelyev,-0.1209,-0.1209,False,False,True,8,8
Yakut,leaf,sebirdeχ,s e b i r d e χ,savelyev,-1.0216,-1.0216,False,False,False,8,8
Chuvash,leaf,ɕulʑə̈,ɕ u l ʑ ə,savelyev,-0.8899,-0.8899,False,False,False,5,5
Azerbaijani,long,uzun,u z u n,savelyev,-0.6641,-0.6641,False,False,False,4,4
Chuvash,long,vöröm,v ŏ r ŏ m,savelyev,-0.5483,-0.5483,False,False,False,5,5
Kazakh,long,ŭzɯn,u z ɯ n,savelyev,-0.5911,-0.5911,False,False,False,4,4
Kyrgyz,long,uzun,u z u n,savelyev,-0.092,-0.092,False,False,True,4,4
Turkish,long,uzun,u z u n,savelyev,-0.7226,-0.7226,False,False,False,4,4
Turkmen,long,uzɯn,u z ɯ n,savelyev,-0.2225,-0.2225,False,False,True,4,4
Uyghur,long,uzun,u z u n,savelyev,-0.1508,-0.1508,False,False,True,4,4
Uzbek,long,uzun,u z u n,savelyev,-0.7806,-0.7806,False,False,False,4,4
Yakut,long,uhun,u h u n,savelyev,-0.9278,-0.9278,False,False,False,4,4
Azerbaijani,louse,bit,b i t,savelyev,-0.5688,-0.5688,False,False,False,3,3
Chuvash,louse,pɯjdə̈,p ɯ j d ə,savelyev,-0.7609,-0.7609,False,False,False,5,5
Kazakh,louse,bit,b i t,savelyev,-0.5687,-0.5687,False,False,False,3,3
Kyrgyz,louse,bit,b i t,savelyev,-0.2773,-0.2773,False,False,True,3,3
Turkish,louse,bit,b i t,savelyev,-0.7401,-0.7401,False,False,False,3,3
Turkmen,louse,bit,b i t,savelyev,-0.1991,-0.1991,False,False,True,3,3
Uyghur,louse,"pit, (piʃt)",p i t,savelyev,-0.2337,-0.2337,False,False,True,3,3
Uzbek,louse,bit,b i t,savelyev,-0.776,-0.776,False,False,False,3,3
Yakut,louse,bɯt,b ɯ t,savelyev,-1.0377,-1.0377,False,False,False,3,3
Kazakh,man,erkek,e r k e k,savelyev,-0.7985,-0.7985,False,False,False,5,5
Kyrgyz,man,erkek (kiʃi),e r k e k k i ʃ i,savelyev,-0.501,-0.501,False,False,True,9,9
Turkish,man,erkek,e r k e k,savelyev,-0.3277,-0.3277,False,False,False,5,5
Turkmen,man,erkek (adam),e r k e k a d a m,savelyev,-0.1592,-0.1592,False,False,True,9,9
Uyghur,man,ɛrkɛk,æ r k æ k,savelyev,-0.3971,-0.3971,False,False,True,5,5
Uzbek,man,erkak (kiʃi),e r k a k k i ʃ i,savelyev,-0.7514,-0.7514,False,False,False,9,9
Chuvash,man,arʑɯn,a r ʑ ɯ n,savelyev,-0.8537,-0.8537,False,False,False,5,5
