language,gloss,form,ipa_tokens,cogid,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,n_tokens,n_lookups
Uzbek,who,kim,k i m,81,savelyev,-0.3187,-0.3187,False,False,3,3
Yakut,who,kim,k i m,81,savelyev,-2.198,-2.198,False,False,3,3
Chuvash,woman,χɘrarə̈m,χ ĭ r a r ə m,588,savelyev,-0.1207,-0.1207,False,False,7,7
Azerbaijani,woman,ɢadɯn,ɢ a d ɯ n,589,savelyev,-0.1203,-0.1203,False,False,5,5
Turkish,woman,kadɯn,k a d ɯ n,589,savelyev,-0.0546,-0.0546,False,False,5,5
Uzbek,woman,χɔtin (kiʃi),χ ɔ t i n,589,savelyev,-1.3737,-1.3737,False,False,5,5
Azerbaijani,person,ɑdɑm,ɑ d ɑ m,100171,lexstat,-3.0593,-3.3593,True,False,4,4
Uzbek,tree,daraχt,d a r a χ t,100228,lexstat,-2.1264,-2.4264,True,False,6,6
Uzbek,bark,qɒbiq,q ɒ b i q,100025,lexstat,-1.3539,-1.6539,True,False,5,5
Uzbek,leaf,barɡ,b a r g,100134,lexstat,-0.1553,-0.4553,True,False,4,4
Uzbek,horn,muɡiz,m u g i z,100126,lexstat,-0.1889,-0.4889,True,False,5,5
Uzbek,tail,qujruq,q u j r u q,100209,lexstat,-0.0691,-0.3691,True,False,6,6
Uzbek,egg,tuχum,t u χ u m,100074,lexstat,-1.3013,-1.6013,True,False,5,5
Uzbek,flesh,ɡoʃt,g o ʃ t,100104,lexstat,-0.2293,-0.5293,True,False,4,4
Uzbek,big,bujuk,b u j u k,100030,lexstat,-0.1405,-0.4405,True,False,5,5
Kazakh,woman,bɪjke,b ɪ j k e,100260,lexstat,-1.4077,-1.7077,True,False,5,5
Chuvash,flesh,aʂ,a ʂ,100104,lexstat,-0.1934,-0.4934,True,False,2,2
Chuvash,small,ˈpɘt͡ɕɘk,p ɘ tɕ ɘ k,100194,lexstat,-3.6866,-3.9866,True,False,5,5
Chuvash,many,miˈɕ̬ɛ,m i ɕ ɛ,100154,lexstat,-1.6678,-1.9678,True,False,4,4
Yakut,woman,ɟaxtaɾ,ɟ a x t a ɾ,100263,lexstat,-3.1127,-3.4127,True,False,6,6
Yakut,many,tøhø,t ø h ø,100157,lexstat,-0.6058,-0.9058,True,False,4,4
Turkmen,person,unsan,u n s a n,100172,lexstat,-0.132,-0.432,True,False,5,5
Turkmen,horn,Sah,ʃ a h,100130,lexstat,-2.0627,-2.3627,True,False,3,3
