language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag
Kazakh,end,soŋə,s o ŋ ə,A_kipchak,northeuralex,-1.0961,-1.0961,True,True,unknown,False
Kazakh,tear,ʒɑs,ʒ ɑ s,A_kipchak,northeuralex,-1.0959,-1.0959,True,True,unknown,False
Kazakh,age,ʒɑs,ʒ ɑ s,A_kipchak,northeuralex,-1.0959,-1.0959,True,True,unknown,False
Uzbek,summit,t͡ʃoqːi,tʃ o qː i,A_kipchak,northeuralex,-1.0944,-1.0944,True,True,unknown,False
Kazakh,"peel, husk",qɑbəʁə,q ɑ b ə ʁ ə,A_kipchak,northeuralex,-1.0935,-1.0935,True,True,unknown,False
Kazakh,pit,oɾ,o ɾ,A_kipchak,northeuralex,-1.0935,-1.0935,True,True,unknown,False
Kazakh,path,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False
Kazakh,way,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False
Kazakh,road,ʒol,ʒ o l,A_kipchak,northeuralex,-1.0925,-1.0925,True,True,unknown,False
Kazakh,thin,ʒəŋəʃke,ʒ ə ŋ ə ʃ k e,A_kipchak,northeuralex,-1.0908,-1.0908,True,True,unknown,False
Kazakh,first,ɑlʁɑʃqə,ɑ l ʁ ɑ ʃ q ə,A_kipchak,northeuralex,-1.0893,-1.0893,True,True,unknown,False
Kazakh,character,æɾəp,æ ɾ ə p,A_kipchak,northeuralex,-1.0885,-1.0885,True,True,unknown,False
Kazakh,still,ælə,æ l ə,A_kipchak,northeuralex,-1.0881,-1.0881,True,True,unknown,False
Kazakh,doctor,dæɾəɡeɾ,d æ ɾ ə g e ɾ,A_kipchak,northeuralex,-1.0872,-1.0872,True,True,unknown,False
Kazakh,seven,ʒetə,ʒ e t ə,A_kipchak,northeuralex,-1.0867,-1.0867,True,True,unknown,False
Kazakh,living,təɾə,t ə ɾ ə,A_kipchak,northeuralex,-1.0861,-1.0861,True,True,unknown,False
Kazakh,pig,ʃoʃqɑ,ʃ o ʃ q ɑ,A_kipchak,northeuralex,-1.0858,-1.0858,True,True,unknown,False
Kazakh,next to,əɾɡede,ə ɾ g e d e,A_kipchak,northeuralex,-1.0856,-1.0856,True,True,unknown,False
Uzbek,place,d͡ʒɒj,dʒ ɒ j,A_kipchak,northeuralex,-1.0835,-1.0835,True,True,unknown,False
Kazakh,swarm,ʊjəɾ,ʊ j ə ɾ,A_kipchak,northeuralex,-1.0835,-1.0835,True,True,unknown,False
Kazakh,nine,toʁəz,t o ʁ ə z,A_kipchak,northeuralex,-1.0829,-1.0829,True,True,unknown,False
Uzbek,sleeve,jɛŋ,j ɛ ŋ,A_kipchak,northeuralex,-1.0823,-1.0823,True,True,unknown,False
Kazakh,today,bʊɡən,b ʊ g ə n,A_kipchak,northeuralex,-1.0797,-1.0797,True,True,unknown,False
Uzbek,stove,pɛt͡ʃka,p ɛ tʃ k a,A_kipchak,northeuralex,-1.0788,-1.0788,True,True,unknown,False
Kazakh,expensive,bɑʁɑlə,b ɑ ʁ ɑ l ə,A_kipchak,northeuralex,-1.0784,-1.0784,True,True,unknown,False
Kazakh,"cover, lid",ʒɑpqəʃ,ʒ ɑ p q ə ʃ,A_kipchak,northeuralex,-1.0782,-1.0782,True,True,unknown,False
Kazakh,under,tʊp,t ʊ p,A_kipchak,northeuralex,-1.0774,-1.0774,True,True,unknown,False
Kazakh,half,ʒɑɾtə,ʒ ɑ ɾ t ə,A_kipchak,northeuralex,-1.0768,-1.0768,True,True,unknown,False
Kazakh,green,ʒɑsəl,ʒ ɑ s ə l,A_kipchak,northeuralex,-1.0761,-1.0761,True,True,unknown,False
