ID	DOCULECT	CONCEPT	TOKENS	IPA
233	Turkmen	one	b i r	bir
234	Uyghur	one	b i r	bir
235	Uzbek	one	b i r	bir
236	Yakut	one	b iː r	bi:r
237	Kazakh	person	k ĭ s ĭ	kɘsɘ
238	Kyrgyz	person	k i ʃ i	kiʃi
239	Turkish	person	k i ʃ i	kiʃi
240	Uyghur	person	k i ʃ i	kiʃi
241	Uzbek	person	k i ʃ i	kiʃi
242	Yakut	person	k i h i	kihi
243	Chuvash	person	ɕ ɯ n	ɕɯn
244	Chuvash	root	t ɯ m a r	tɯmar
245	Kazakh	root	t a m ɯ r	tamɯr
246	Kyrgyz	root	t a m ɯ r	tamɯr
247	Uyghur	root	t o m u r	tomur
248	Uzbek	root	i l d i z	ildiz
249	Yakut	root	s i l i s	silis
250	Azerbaijani	root	k ø k	køk
251	Turkish	root	k ø k	køk
252	Turkmen	root	k ø k	køk
253	Azerbaijani	seed	gʲ ø r	gjør
254	Chuvash	seed	k u r	kur
255	Kazakh	seed	k ø r	kør
256	Kyrgyz	seed	k ø r	kør
257	Turkish	seed	g ø r	gør
258	Turkmen	seed	g ø r	gør
259	Uyghur	seed	k ø r	kør
260	Uzbek	seed	k o r	kor
261	Yakut	seed	k ø r	kør
262	Azerbaijani	skin	d æ r i	dɛri
263	Chuvash	skin	t i r ĭ	tirɘ
264	Kazakh	skin	t e r ĭ	terɘ
265	Kyrgyz	skin	t e r i	teri
266	Turkish	skin	d e r i	deri
267	Turkmen	skin	d e r i	deri
268	Uyghur	skin	t e r æ	terɛ
269	Uzbek	skin	t e r i	teri
270	Yakut	skin	t i r iː	tiri:
271	Azerbaijani	small	k i tɕ i k	kiʨik
272	Kazakh	small	k ĭ ʃ k e n e	kɘʃkene, kɘʃkentaj
273	Kyrgyz	small	k i ʨ i n e k e j	kiʨine(kej)
274	Turkish	small	k y tɕ y k	kyʨyk
275	Turkmen	small	k i ʨ i ʥ i k	kiʨi(ʥik)
276	Uyghur	small	k i tɕ i k	kiʨik
277	Uzbek	small	k i tɕ k i n a	kiʨkina
278	Yakut	small	k u tʃː u g u j	? kutɕ:uguj
279	Azerbaijani	tail	ɢ u j r u ɢ	ɢujruɢ
280	Chuvash	tail	χ y r e	χyre
281	Kazakh	tail	q u j r ɯ q	qŭjrɯq
282	Kyrgyz	tail	q u j r u q	qujruq
283	Turkish	tail	k u j r u k	kujruk
284	Turkmen	tail	ɢ u j r u q	ɢujruq
285	Uyghur	tail	q u j r u q	qujruq
286	Yakut	tail	k u t u r u k	kuturuk
287	Uzbek	that	o	o(ʃa)
288	Kazakh	that	a n a w	ana(w)
289	Azerbaijani	this	b u	bu
290	Kazakh	this	b u l	bŭl
291	Kyrgyz	this	b u	bu
292	Turkish	this	b u	bu
293	Turkmen	this	b u	bu
294	Uyghur	this	b u	bu
295	Uzbek	this	b u	bu
296	Yakut	this	b u	bu
297	Chuvash	this	k u	ku
298	Azerbaijani	tree	a ɣ a ʥ	aɣaǰ
299	Chuvash	tree	j ɯ v ə ɕ	jɯvə̈ɕ
300	Kazakh	tree	a ɣ a ʃ	aɣaʃ
301	Kyrgyz	tree	ʥ ɯ ɣ a ʨ	ʥɯɣaʨ
302	Turkish	tree	a ɣ a tɕ	aɣaʨ
303	Turkmen	tree	a ɣ a tɕ	aɣaʨ
304	Uyghur	tree	j a ɣ a tɕ	jaɣaʨ
305	Yakut	tree	m a s	mas
306	Azerbaijani	two	i k i	iki
307	Chuvash	two	i k ĭ	ikkɘ, igɘ, ik
308	Kazakh	two	e k ĭ	ekɘ
309	Kyrgyz	two	e k i	eki
310	Turkish	two	i k i	iki
311	Turkmen	two	i k i	iki
312	Uyghur	two	i kː i	ikki
313	Uzbek	two	i kː i	ikki
314	Yakut	two	i kː i	ikki
315	Azerbaijani	what	n æ	nɛ
316	Chuvash	what	m ĭ n	mɘn
317	Kazakh	what	n e	ne
318	Kyrgyz	what	e m n e	emne
319	Turkish	what	n e	ne
320	Turkmen	what	n æ m e	nɛme
321	Uyghur	what	n i m æ	nimɛ
322	Uzbek	what	n i m a	nima
323	Yakut	what	t u o χ	tuoχ
324	Azerbaijani	who	k i m	kim
325	Chuvash	who	k a m	kam
326	Kazakh	who	k ĭ m	kɘm
327	Kyrgyz	who	k i m	kim
328	Turkish	who	k i m	kim
329	Turkmen	who	k i m	kim
330	Uyghur	who	k i m	kim
331	Uzbek	who	k i m	kim
332	Yakut	who	k i m	kim
333	Chuvash	woman	χ ĭ r a r ə m	χɘrarə̈m
334	Azerbaijani	woman	ɢ a d ɯ n	ɢadɯn
335	Turkish	woman	k a d ɯ n	kadɯn
336	Uzbek	woman	χ ɔ t i n	χɔtin (kiʃi)
337	Azerbaijani	person	ɑ d ɑ m	ɑdɑm
338	Uzbek	tree	d a r a χ t	daraχt
339	Uzbek	bark	q ɒ b i q	qɒbiq
340	Uzbek	leaf	b a r g	barɡ
341	Uzbek	horn	m u g i z	muɡiz
342	Uzbek	tail	q u j r u q	qujruq
343	Uzbek	egg	t u χ u m	tuχum
344	Uzbek	flesh	g o ʃ t	ɡoʃt
345	Uzbek	big	b u j u k	bujuk
346	Kazakh	woman	b ɪ j k e	bɪjke
347	Chuvash	flesh	a ʂ	aʂ
348	Chuvash	small	p ɘ tɕ ɘ k	ˈpɘt͡ɕɘk
349	Chuvash	many	m i ɕ ɛ	miˈɕ̬ɛ
350	Yakut	woman	ɟ a x t a ɾ	ɟaxtaɾ
351	Yakut	many	t ø h ø	tøhø
352	Turkmen	person	u n s a n	unsan
353	Turkmen	horn	ʃ a h	Sah
354	Turkish	nose	b u ɾ u n	buɾun
355	Turkish	mouth	aː ɯ z	aːɯz
356	Turkish	tooth	d i ʃ	diʃ
357	Turkish	tongue	d i l	dil
358	Turkish	lip	d u d a k	dudak
359	Turkish	cheek	j a n a k	janak
360	Turkish	face	j y z	jyz
361	Turkish	forehead	a l ɯ n	alɯn
362	Turkish	moustache	b ɯ j ɯ k	bɯjɯk
363	Turkish	beard	s a k a l	sakal
364	Turkish	chin	tʃ ɛ n ɛ	t͡ʃɛnɛ
365	Turkish	jaw	tʃ ɛ n ɛ	t͡ʃɛnɛ
366	Turkish	throat	b oː a z	boːaz
367	Turkish	neck	b o j u n	bojun
368	Turkish	neck	g ɛ ɾ d a n	ɡɛɾdan
369	Turkish	nape	ɛ n s ɛ	ɛnsɛ
370	Turkish	back	a ɾ k a	aɾka
371	Turkish	belly	k a ɾ ɯ n	kaɾɯn
372	Turkish	navel	g œ b ɛ k	ɡœbɛk
373	Turkish	bosom	k o j u n	kojun
374	Turkish	breast	g œ j y s	ɡœjys
375	Turkish	shoulder	o m u z	omuz
376	Turkish	arm	k o l	kol
377	Turkish	elbow	d i ɾ s ɛ k	diɾsɛk
378	Turkish	hand	ɛ l	ɛl
379	Turkish	palm	a v u tʃ	avut͡ʃ
380	Turkish	palm	ɛ l + a j a s ɯ	ɛl_ajasɯ
381	Turkish	finger	p a ɾ m a k	paɾmak
382	Turkish	fingernail	ɛ l + t ɯ ɾ n aː ɯ	ɛl_tɯɾnaːɯ
383	Turkish	nail	t ɯ ɾ n a k	tɯɾnak
384	Turkish	toe	a j a k + p a ɾ m aː ɯ	ajak_paɾmaːɯ
385	Turkish	foot	a j a k	ajak
386	Turkish	heel	t o p u k	topuk
387	Turkish	knee	d i z	diz
388	Turkish	thigh	u j l u k	ujluk
389	Turkish	leg	b a dʒ a k	bad͡ʒak
390	Turkish	body	v y dʒ u t	vyd͡ʒut
391	Turkish	vein	d a m a ɾ	damaɾ
392	Turkish	sinew	k i ɾ i ʃ	kiɾiʃ
393	Turkish	brain	b ɛ j i n	bɛjin
394	Turkish	heart	k a l p	kalp
395	Turkish	heart	j y ɾ ɛ k	jyɾɛk
396	Turkish	stomach	m i d ɛ	midɛ
397	Turkish	liver	k a ɾ a dʒ i j ɛ ɾ	kaɾad͡ʒijɛɾ
398	Turkish	breath	n ɛ f ɛ s	nɛfɛs
399	Turkish	hunger	a tʃ l ɯ k	at͡ʃlɯk
400	Turkish	tear	g œ z j a ʃ ɯ	ɡœzjaʃɯ
401	Turkish	flavour	t a t	tat
402	Turkish	flavour	l ɛ zː ɛ t	lɛzːɛt
403	Turkish	odour	k o k u	koku
404	Turkish	sleep	u j k u	ujku
405	Turkish	dream	d y ʃ	dyʃ
406	Turkish	dream	ɾ y j a	ɾyja
407	Turkish	sky	g œ k	ɡœk
408	Turkish	sun	g y n ɛ ʃ	ɡynɛʃ
409	Turkish	moon	a j	aj
410	Turkish	star	j ɯ l d ɯ z	jɯldɯz
411	Turkish	air	h a v a	hava
412	Turkish	wind	j ɛ l	jɛl
413	Turkish	wind	ɾ y z g aː ɾ	ɾyzɡaːɾ
414	Turkish	wave	d a l g a	dalɡa
415	Turkish	water	s u	su
416	Turkish	stone	t a ʃ	taʃ
417	Turkish	ground	j ɛ ɾ	jɛɾ
418	Turkish	ground	z ɛ m i n	zɛmin
419	Turkish	earth	t o p ɾ a k	topɾak
420	Turkish	dust	t o z	toz
421	Turkish	smoke	d u m a n	duman
422	Turkish	spark	k ɯ v ɯ l dʒ ɯ m	kɯvɯld͡ʒɯm
423	Turkish	fire	a t ɛ ʃ	atɛʃ
424	Turkish	light	ɯ ʃ ɯ k	ɯʃɯk
425	Turkish	shadow	g œ l g ɛ	ɡœlɡɛ
426	Turkish	weather	h a v a	hava
427	Turkish	fog	p u s	pus
428	Turkish	cloud	b u l u t	bulut
429	Turkish	rain	j aː m u ɾ	jaːmuɾ
430	Turkish	snow	k a ɾ	kaɾ
431	Turkish	ice	b u z	buz
432	Turkish	frost	d o n	don
433	Turkish	chill	s oː u k l u k	soːukluk
434	Turkish	heat	s ɯ dʒ a k l ɯ k	sɯd͡ʒaklɯk
435	Turkish	hoarfrost	k ɯ ɾ tʃ	kɯɾt͡ʃ
436	Turkish	rainbow	g œ kː u ʃ aː ɯ	ɡœkːuʃaːɯ
437	Turkish	thunder	g œ k + g y ɾ l ɛ m ɛ s i	ɡœk_ɡyɾlɛmɛsi
438	Turkish	current	a k ɯ n t ɯ	akɯntɯ
439	Turkish	current	dʒ ɛ ɾ ɛ j a n	d͡ʒɛɾɛjan
440	Turkish	drop	d a m l a	damla
441	Turkish	foam	k œ p y k	kœpyk
442	Turkish	dirt	tʃ a m u ɾ	t͡ʃamuɾ
443	Turkish	dirt	p i s l i k	pislik
444	Turkish	lake	g œ l	ɡœl
445	Turkish	swamp	b a t a k	batak
446	Turkish	moor	dʒ ɯ l g ɯ t	d͡ʒɯlɡɯt
447	Turkish	meadow	tʃ i m ɛ n	t͡ʃimɛn
448	Turkish	forest	k o ɾ u	koɾu
449	Turkish	forest	o ɾ m a n	oɾman
450	Turkish	hill	t ɛ p ɛ	tɛpɛ
451	Turkish	elevation	t y m s ɛ k	tymsɛk
452	Turkish	elevation	j y k s ɛ k l i k	jyksɛklik
453	Turkish	mountain	d aː	daː
454	Turkish	summit	z i ɾ v ɛ	ziɾvɛ
455	Turkish	cave	i n	in
456	Turkish	cave	m aː a ɾ a	maːaɾa
457	Turkish	slope	b a j ɯ ɾ	bajɯɾ
458	Turkish	source	p ɯ n a ɾ	pɯnaɾ
459	Turkish	source	k a j n a k	kajnak
460	Turkish	brook	tʃ a j	t͡ʃaj
461	Turkish	brook	d ɛ ɾ ɛ	dɛɾɛ
462	Turkish	river	n ɛ h i ɾ	nɛhiɾ
463	Turkish	shore	k ɯ j ɯ	kɯjɯ
464	Turkish	shore	s a h i l	sahil
465	Turkish	coast	k ɯ j ɯ	kɯjɯ
466	Turkish	coast	s a h i l	sahil
467	Turkish	land	k a ɾ a	kaɾa
468	Turkish	sea	d ɛ n i z	dɛniz
469	Turkish	cove, bay	k o j	koj
470	Turkish	cove, bay	k œ ɾ f ɛ z	kœɾfɛz
471	Turkish	island	a d a	ada
472	Turkish	flower	tʃ i tʃ ɛ k	t͡ʃit͡ʃɛk
473	Turkish	grass	o t	ot
474	Turkish	grass	tʃ i m	t͡ʃim
475	Turkish	trunk	g œ v d ɛ	ɡœvdɛ
476	Turkish	limb	d a l	dal
477	Turkish	limb	b u d a k	budak
478	Turkish	twig	d a l	dal
479	Turkish	birch	h u ʃ	huʃ
480	Turkish	pine	tʃ a m	t͡ʃam
481	Turkish	willow	s œ j y t	sœjyt
482	Turkish	fir	tʃ a m	t͡ʃam
483	Turkish	fir	k œ k n a ɾ	kœknaɾ
484	Turkish	fur	p o s t	post
485	Turkish	wing	k a n a t	kanat
486	Turkish	claw	p ɛ n tʃ ɛ	pɛnt͡ʃɛ
487	Turkish	paw	t ɯ ɾ n a k	tɯɾnak
488	Turkish	nest	j u v a	juva
489	Turkish	lair	i n	in
490	Turkish	animal	h a j v a n	hajvan
491	Turkish	flock	s y ɾ y	syɾy
492	Turkish	cow	i n ɛ k	inɛk
493	Turkish	bull	b oː a	boːa
494	Turkish	horse	a t	at
495	Turkish	horse	b ɛ j g i ɾ	bɛjɡiɾ
496	Turkish	sheep	k o j u n	kojun
497	Turkish	pig	d o m u z	domuz
498	Turkish	cat	k ɛ d i	kɛdi
499	Turkish	bear	a j ɯ	ajɯ
500	Turkish	squirrel	s i n dʒ a p	sind͡ʒap
501	Turkish	elk	b y j y k + k u z ɛ j + g ɛ j i j i	byjyk_kuzɛj_ɡɛjiji
502	Turkish	fox	t i l k i	tilki
503	Turkish	hare	t a v ʃ a n	tavʃan
504	Turkish	mouse	f a ɾ ɛ	faɾɛ
505	Turkish	mouse	s ɯ tʃ a n	sɯt͡ʃan
506	Turkish	wolf	k u ɾ t	kuɾt
507	Turkish	swarm	s y ɾ y	syɾy
508	Turkish	chicken	t a v u k	tavuk
509	Turkish	cock	h o ɾ o z	hoɾoz
510	Turkish	goose	k a z	kaz
511	Turkish	eagle	k a ɾ t a l	kaɾtal
512	Turkish	eagle	k a ɾ a k u ʃ	kaɾakuʃ
513	Turkish	duck	œ ɾ d ɛ k	œɾdɛk
514	Turkish	owl	b a j k u ʃ	bajkuʃ
515	Turkish	crane	t u ɾ n a	tuɾna
516	Turkish	crow	k a ɾ g a	kaɾɡa
517	Turkish	cuckoo	g u g u k	ɡuɡuk
518	Turkish	swan	k uː u	kuːu
519	Turkish	perch	h a n i	hani
520	Turkish	perch	l ɛ v ɾ ɛ k	lɛvɾɛk
521	Turkish	pike	t u ɾ n a b a l ɯː ɯ	tuɾnabalɯːɯ
522	Turkish	snake	j ɯ l a n	jɯlan
523	Turkish	worm	k u ɾ t	kuɾt
524	Turkish	worm	s o l u dʒ a n	solud͡ʒan
525	Turkish	spider	œ ɾ y m dʒ ɛ k	œɾymd͡ʒɛk
526	Turkish	ant	k a ɾ ɯ n dʒ a	kaɾɯnd͡ʒa
527	Turkish	gnat	s i v ɾ i s i n ɛ k	sivɾisinɛk
528	Turkish	fly	s i n ɛ k	sinɛk
529	Turkish	butterfly	k ɛ l ɛ b ɛ k	kɛlɛbɛk
530	Turkish	berry	t a n ɛ	tanɛ
531	Turkish	apple	ɛ l m a	ɛlma
532	Turkish	mushroom	m a n t a ɾ	mantaɾ
533	Turkish	onion	s oː a n	soːan
534	Turkish	grain	t a n ɛ	tanɛ
535	Turkish	hay	k u ɾ u + o t	kuɾu_ot
536	Turkish	peel, husk	k a b u k	kabuk
537	Turkish	pit	tʃ u k u ɾ	t͡ʃukuɾ
538	Turkish	trap	t u z a k	tuzak
539	Turkish	noose	i l m i k	ilmik
540	Turkish	track	i z	iz
541	Turkish	ash	k y l	kyl
542	Turkish	filth	p i s l i k	pislik
543	Turkish	iron	d ɛ m i ɾ	dɛmiɾ
544	Turkish	gold	a l t ɯ n	altɯn
545	Turkish	silver	g y m y ʃ	ɡymyʃ
546	Turkish	coal	k œ m y ɾ	kœmyɾ
547	Turkish	glass	dʒ a m	d͡ʒam
548	Turkish	clay	b a l tʃ ɯ k	balt͡ʃɯk
549	Turkish	sand	k u m	kum
550	Turkish	human	i n s a n	insan
551	Turkish	child	tʃ o dʒ u k	t͡ʃod͡ʒuk
552	Turkish	boy	ɛ ɾ k ɛ k + tʃ o dʒ u k	ɛɾkɛk_t͡ʃod͡ʒuk
553	Turkish	girl	k ɯ z	kɯz
554	Turkish	family	a i l ɛ	ailɛ
555	Turkish	grandfather	d ɛ d ɛ	dɛdɛ
556	Turkish	grandfather	b y j y k b a b a	byjykbaba
557	Turkish	grandmother	n i n ɛ	ninɛ
558	Turkish	grandmother	b y j y k a nː ɛ	byjykanːɛ
559	Turkish	parents	ɛ b ɛ v ɛ j n	ɛbɛvɛjn
560	Turkish	parents	a n a + b a b a	ana_baba
561	Turkish	father	a t a	ata
562	Turkish	father	b a b a	baba
563	Turkish	mother	a n a	ana
564	Turkish	mother	a nː ɛ	anːɛ
565	Turkish	son	oː u l	oːul
